id,keyword,location,text,target,prob_DIS_TRUE,prob_DIS_FALSE,prediction
13049,casualty,Kent,Next time on #Casualty! Tune in Saturday 21.20pm on Vote for Casualty in the 🏆👉 https://t.co/xCWu…,1,0.76065207,0.21763308,Disaster
13057,casualty,India,"In year 2019 , record of no casualty due to railway accident . If this epitome can be achieved with present system .Then…",1,0.77422565,0.20318913,Disaster
13059,casualty,United Kingdom,Just happened to be passing Bourne Park on the A343 and had to dispatch yet another deer casualty!! … https://t.co/jUiPo9Mb3F,1,0.86332774,0.13127087,Disaster
13060,casualty,"San Francisco, CA",Count is 80+ Sir and surprisingly no Pak Army casualty??,1,0.87846893,0.10944854,Disaster
13062,casualty,Mumbai India,Fire in Mahul. Fire in BPCL #Mahul No casualty reported so far How is the going to ensure security of residents…,1,0.93115926,0.07295584,Disaster
13063,casualty,"Geelong, Victoria, Australia","That is, if you are fortunate to find mandarins anywhere. At all. Another bushfires casualty, most likely.",1,0.860514,0.1255444,Disaster
13064,casualty,"Bolton, England","A casualty of the fires. Burning at times at a speed of up to 3kms a second, many wildlife didn’t stand a chance. With dead…",1,0.91757876,0.08295115,Disaster
13065,casualty,"Seattle, WA","Beat:E1, CASUALTY (NON CRIMINAL/TRAFFIC) - MAN DOWN, SICK PERSONS, INJURED, DOA) at 3XX BLOCK OF HARVARD AV E repor… https://t.co/xXvjIutOfM",1,0.90392905,0.09136164,Disaster
13066,casualty,"Nairobi, Kenya",first locust casualty in 2020. #UhuruAddress,1,0.9093266,0.08430025,Disaster
13067,casualty,Australia 🇦🇺,Having tasted the blood of their 1st LNP casualty.....another witch hunt &amp; call to arms ensues for more online 'pil… https://t.co/F20p60N0fk,0,0.24747258,0.7274698,NOT a Disaster
13070,casualty,Bharat,Any dog casualty?,1,0.71483624,0.23251991,Disaster
13071,casualty,Armenia,RTA on Bagratunyats Avenue: there was a casualty https://t.co/e35ykdlTVA,1,0.93132675,0.07063653,Disaster
13073,casualty,,"Yes let's. Very likely 3,270 days from now our nuclear casualty body count would be the same as Fukushima's today. i.e.…",1,0.9085548,0.08296603,Disaster
13074,casualty,"Johannesburg, South Africa","[BREAKING] - ER24, Life Healthcare and WC Metro Services, are on scene of a mass casualty incident in Wetton in the Western Ca…",1,0.9241233,0.07826829,Disaster
13076,casualty,"South Alabama, USA",They are dropping like flies in the #DemocRATPrimary: The latest casualty #CoreyBooker (aka #Spartacus). Remember #DevalPa…,1,0.76951534,0.18895875,Disaster
13077,casualty,"Belfast, Northern Ireland","3 years since Jacob told Connie, “It’s over” and I’m still holding out for that reunion! 🙏🏼 #Casualty https://t.co/dwy…",0,0.21831332,0.7601675,NOT a Disaster
13083,casualty,Tasmania,Years ago I nearly was a casualty of cancel culture. Some NZ tweeters had been piling on me on &amp; off for a long time &amp; I exp…,0,0.20686342,0.78349775,NOT a Disaster
13084,casualty,"Wellington, NZ",Years ago I nearly was a casualty of cancel culture. Some NZ tweeters had been piling on me on &amp; off for a long tim… https://t.co/y1k7JeAIw8,0,0.20306122,0.7803391,NOT a Disaster
13085,casualty,"South Petherton, England","Energetic and Comedic Redhead Teen, just seen on #Casualty Playing age 12-15, Northern and American Accents, worked wi…",0,0.2030419,0.795466,NOT a Disaster
13086,casualty,"Redwood City, CA",SNOW STORM CASUALTY: #FANCYWATEROFTHEDAY https://t.co/qJyi9PheIB,1,0.9183547,0.077039056,Disaster
13091,casualty,"West Midlands, England","3 years since Jacob told Connie, “It’s over” and I’m still holding out for that reunion! 🙏🏼 #Casualty https://t.co/dwy43RhaCv",0,0.21831332,0.7601675,NOT a Disaster
13094,casualty,"Long Beach, CA","“It’s a paradox we call reality, so keepin it real will make you a casualty of abnormal normality”",0,0.20014556,0.75304985,NOT a Disaster
13096,casualty,North Scotland,"Exeter off . The casualty list mounting . Huntington, Leicester last 7 days too ... only 1 jump fixture next Sunday… https://t.co/XsOV7wqLpc",1,0.7223075,0.25239986,Disaster
