id,keyword,location,text,target,prob_DIS_TRUE,prob_DIS_FALSE,prediction
12660,bridge-collapse,,Hurricane Harvey: Silsbee Tx Flooded at Hwy 96 - Day before the Bridge Collapse https://t.co/wjLM9rbQl6,1,0.9257342,0.07490537,Disaster
12662,bridge-collapse,,"Dont forget my friend. When there is crisis in India, RSS always comes for help. Bridge collapse, floods…",1,0.9099819,0.08436956,Disaster
12940,bush-fires,Cascadia,A 1.5-million-acre “megafire” is threatening Australia. Indonesia is dealing with deadly floods. We cannot keep avoiding…,1,0.92412245,0.07570109,Disaster
13231,chemical-emergency,"Cincinnati, OH","Flood waters 💦 and standing waters pose various risks, including infectious diseases, chemical hazards, and injurie… https://t.co/YhlulOWKjo",1,0.8180786,0.16231833,Disaster
13937,damage,,"Indonesia: Jakarta’s flood costs will increase by up to 400% by 2050, research shows - In a recently published study, my…",1,0.8923738,0.10072156,Disaster
13977,damage,"Köln, Deutschland","While this regime exists, there will be nothing but misery and death. If the IRGC are not shooting at the people, floods…",1,0.9162277,0.085426874,Disaster
14352,deluge,Torreón 🇲🇽,"Venice’s worst flood happened in 1966. At the time, experts thought the flood was a once-in-800 year event. November’s flood…",1,0.913218,0.084612556,Disaster
15207,displaced,Israel 🇮🇱,"Indonesia Devastating Floods: 66 People Have Died. More Than 36,000 Displaced. In the past, Israel offered humanita… https://t.co/eWxdGoj3Q8",1,0.91774243,0.078701064,Disaster
15233,displaced,,"Indonesia Devastating Floods: 66 People Have Died. More Than 36,000 Displaced. In the past, Israel offered humanitaria…",1,0.916117,0.07999059,Disaster
15311,drought,,"It is not the best measure of “climate change”. Drought, flash floods etc cannot be assessed with ocean heat content. B…",1,0.83218294,0.14776157,Disaster
15582,dust-storm,Kaliningrad,-Desert Locusts -Floods -Dust storm -Bats If these aren't signs that we are heading to murky waters am not sure wh… https://t.co/xa7Qc9pZqZ,1,0.87679523,0.109375454,Disaster
15838,emergency-services,Belfast northern ireland,Emergency services are battening to save homes from #StormBrendan here in Carrickfergus. The water continues to flood street…,1,0.90505916,0.09687385,Disaster
16053,evacuate,Indonesia,INDONESIA #Jakarta city govt spent more money on Formula E electric car race than flood prevention efforts as death toll from…,1,0.84331656,0.14466402,Disaster
16285,famine,Nairobi,"Each financial year money is allocated for disaster management, but we still raise paybills during famine and floods #UhuruAddress",1,0.84657675,0.14637133,Disaster
16295,famine,,This world is ending Earthquakes Floods Half of Australia on fire Locusts in Somalia Ethiopia &amp; Kenya Trump about to star…,1,0.9229857,0.07369306,Disaster
16380,fatalities,"Valhalla, Maui & Geneva","Since 2020 began, Jakarta, Indonesia has experienced a lot of flooding that has caused many fatalities. NASA researchers an…",1,0.8970832,0.09604714,Disaster
16806,flood,"Glounthaune,Cork-Malaga,Spain","When Cork decides to build the #CorkTidalBarrier flood warnings from tidal flooding will become a thing of the past ""Are…",1,0.8105358,0.17732851,Disaster
16807,flood,"UK

",To those of us that are having a quiet night in on the 31st. How about we flood twitter with our People’s Vote March pict…,0,0.18913314,0.79362386,NOT a Disaster
16811,flood,UK,Bristol Road Flood Protection Monitoring https://t.co/odnT8pflQ9,1,0.8559867,0.13257504,Disaster
16813,flood,"Birmingham, West Midlands",Flood Protection Monitoring on 14 Jan 2020 08:50 https://t.co/19o57dWROj,1,0.8351406,0.15111752,Disaster
16814,flood,"Leeds, UK",He's already done ten minutes on flood risk,1,0.8912841,0.10570413,Disaster
16815,flood,lagos,"When you open the door to self pity , to blame, all kinds of negative thoughts will flood your mind",0,0.1685897,0.7867374,NOT a Disaster
16816,flood,"Arizona, USA",Explain how this works. You demand the minimum wage for all workers be $15.00/hour! Then you flood the labor market with…,0,0.26030758,0.70660764,NOT a Disaster
16817,flood,United Kingdom,Flood Alert: The Suffolk and Essex coast from Felixstowe to Clacton 08:18 14 January https://t.co/vPLmFBDWAW,1,0.91569144,0.085460015,Disaster
16819,flood,"Cardiff, Wales","The New York Times' Editorial Board wants to hear from you about who you endorse for President. Let's flood this one, #Ya…",0,0.20552132,0.7764186,NOT a Disaster
16820,flood,United Kingdom,Flood Alert: The Essex coast from Clacton to and including 08:26 14 January https://t.co/yTfpxd6p4z,1,0.9125297,0.08746552,Disaster
